Country Location,Project Date,Country Code,Project Name,Size or Capture Amount/unit base power,Latitude,Longitude
China,2020-01-01,CN,Shenhua Ningxia CTL Project,10000.0,38.5318,106.249
China,2017-12-01,CN,Sinopec Qilu Petrochemical CCS Project,1369.99995447695,37.4142,118.607
China,2018-01-01,CN,Sinopec Shengli Power Plant CCS Project,600.0,37.46,118.49
China,2017-01-01,CN,Yanchang Integrated Carbon Capture and Storage Demonstration Project,1205.59995993972,37.4316,108.92
Japan,2014-01-01,JP,Hiroshima Pilot Plant,1.0,34.233333,132.216667
United States,2017-02-01,USA,Integrated Mid-Continent Stacked Carbon Storage Hub,0.0,40.341002,-97.793843
United States,2017-01-01,USA,Northern Michigan Basin Carbonsafe Integrated Pre-Feasibility Project ,0.0,44.7241,-85.522351
United States,2017-02-01,USA,CAB-CS: Central Appalachian Basin CarbonSAFE Integrated Pre-Feasibility Project,0.0,40.271999,-81.859679
United States,2017-02-01,USA,"Integrated Pre-Feasibility Study for CO2 Geological Storage in the Cascadia Basin, Offshore Washington State and British Columbia",0.0,45.635052,-124.9843
United States,2017-02-01,USA,California CO2 Storage Assurance Facility Enterprise (C2SAFE),0.0,35.385317,-119.297308
United States,2017-04-01,USA,CarbonSAFE Illinois Macon County,0.0,39.845347,-88.953416
United States,2017-03-01,USA,CarbonSAFE Illinois East Sub-Basin,0.0,39.800683,-87.975712
United States,2017-02-01,USA,Integrated Carbon Capture and Storage in the Louisiana Chemical Corridor,0.0,30.075864,-91.161065
United States,2017-03-01,USA,"Establishing An Early Carbon Dioxide Storage (ECO2S) Complex in Kemper County, Mississippi: Project ECO2S",0.0,32.654011,-88.781194
United States,2017-03-01,USA,Integrated Carbon Capture and Storage in Kansas,0.0,37.258813,-97.4817
United States,2017-01-01,USA,Nebraska Integrated Carbon Capture and Storage Pre-Feasibility Study,0.0,41.158381,-101.127248
United States,2017-06-01,USA,North Dakota Integrated Carbon Storage Complex Feasibility Study,0.0,47.197797,-101.6796
United States,2017-02-01,USA,Integrated CCS Pre-Feasibility in the Northwest Gulf of Mexico,0.0,29.17706,-94.707493
United States,2017-03-01,USA,Carbonsafe Rocky Mountain Phase I: Ensuring Safe Subsurface Storage of Carbon Dioxide in the Intermountain West,0.0,39.107347,-110.867393
United States,2017-03-01,USA,"Integrated Pre-Feasibility Study of a Commercial-Scale Commercial Carbon Capture Project in Formations of the Rock Springs Uplift, Wyoming",0.0,41.577869,-109.207281
United States,2017-03-01,USA,"Integrated Commercial Carbon Capture and Storage PreFeasibility Study at Dry Fork Station, Wyoming",0.0,44.388915,-105.461027
United States,2018-04-04,USA,Large Pilot Testing of Linde/BASF Advanced Post-Combustion CO2 Capture Technology at a Coal-Fired Power Plant,10.0,40.104766,-88.241923
United States,2018-04-01,USA,Large Pilot Testing of the MTR Membrane Post-Combustion CO2 Capture Process,200.0,44.38918,-105.46109
United States,2018-04-01,USA,UKy-CAER Heat-integrated Transformative CO2 Capture Process for Pulverized Coal Power Plants,10.0,38.586201,-85.412379
Norway,,NO,Engineering Scale Testing of Transformational Non-Aqueous Solvent-Based CO2 Capture Process at Technology Centre Mongstad,10.0,60.803324,5.027942
Norway,,NO,Scale-Up and Testing of Advanced Polaris Membrane CO2 Capture Technology,10.0,60.803324,5.027942
Norway,,NO,Membrane-Sorbent Hybrid System for Post-combustion Carbon Capture,10.0,60.803324,5.027942
Norway,,NO,Engineering Scale Demonstration of Mixed-Salt Process for CO2 Capture,10.0,60.803324,5.027942
United States,,USA,ION Engineering Commercial Carbon Capture Design & Costing (C3DC),700.0,41.082047,-101.14317
United States,,USA,Initial Engineering Design of a Post-Combustion CO2 Capture System for Duke Energy’s East Bend Station Using Membrane-Based Technology,600.0,38.905411,-84.851392
United States,,USA,"Initial Engineering, Testing, and Design of a Commercial-Scale, Post-combustion CO2 Capture System on an Existing Coal-Fired Generating Unit",455.0,47.065786,-101.212171
United States,,USA,Shell Chemical CCS Project,0.0,30.096,-90.915
United States,2010-01-01,USA,CEMEX Inc. Cement CO2 Capture Project,0.0,31.75334,-102.54305
United States,2010-01-01,USA,Praxair Inc. CO2 Capture and Sequestration Project,0.0,29.3789,-94.92936
United States,,USA,Wolverine Power Supply Cooperative Inc. - Industrial Capture Project,600.0,45.43,83.839
Japan,2020-08-31,JP,CC-Ocean,0.0,,
Japan,2016-03-28,JP,Gundih CCS Project,0.0,-7.218736,110.900066
Australia,2020-09-22,AU,Drax BECCS Project,3906.0,53.738306,-0.998615
Norway,2020-09-21,NO,Longship,0.0,59.06069,9.69052
United Kingdom,2020-10-08,GB,Eni Project,0.0,53.759691,-3.890529
Poland,2020-09-01,PL,ROCCS project (establishing a Research Laboratoryto unlock European coal seams for carbon dioxide storage),0.0,50.180222,18.932858
Australia,,AU,NERA and CO2CRC Long-term CCUS solution study,0.0,,
Denmark,2020-06-16,DK,Maersk Drilling joins Danish offshore CO2 storage consortium,0.0,56.237304,5.853339
Norway,2020-07-01,NO,Hydrogen to Humber Saltend (H2H Saltend),0.0,53.733955,-0.238885
France,2020-07-09,FR,Vicat cement plant Carbon8 CCUS,0.0,45.804157,5.420279
,2020-06-29,,Blue Flint CO2 Project,0.0,47.377119,-101.15238
Norway,2020-07-01,NO,Fortum Waste-to-Energy,0.0,59.840071,10.83646
Netherlands,2020-05-26,NL,The Port of Rotterdam CO2 Transport Hub and Offshore Storage (Porthos) project,0.0,51.948866,4.134252
Sweden,2020-05-26,Swd,Preem CCS,0.0,58.346534,11.421883
,2020-05-27,,Carbon Connect Delta project,0.0,51.33413,3.830939
Norway,2020-05-15,NO,Northern Lights project,0.0,59.622056,10.594439
United States,2020-01-07,USA,"LafargeHolcim cement plant capture (Florence, Colorado)",0.0,38.385927,-105.018079
United States,2020-04-02,USA,Starwood Energy,0.0,,
Netherlands,2019-06-15,NL,Athos,0.0,52.569361,4.241377
Scotland,2020-01-16,S,Scotland's Net Zero Infrastructure,0.0,,
Scotland,2020-01-16,S,Acorn Project,0.0,56.013126,-3.691888
United Kingdom,2019-09-01,GB,Net Zero Teesside Project,0.0,54.605549,-1.175697
United Kingdom,2019-03-01,GB,HyNet Carbon Capture Utilisation and Storage (CCUS),0.0,53.345991,-2.897419
Wales,2020-04-30,W,South Wales Industrial Cluster (SWIC),0.0,51.556518,-2.9629
England,2020-06-01,E,Repowering the Black Country - Main Body Phase I (Roadmap),0.0,52.534141,-2.081986
United Arab Emirates,2020-02-27,AE,Abu Dhabi National Oil Company (ADNOC),0.0,22.90474,53.941988
Australia,2020-03-04,AU,Moomba carbon capture and storage (CCS) project,0.0,-28.113216,140.206906
England,,E,Net Zero Tees Valley - Decarbonising the Full Cluster Roadmap Pathfinder,0.0,,
,2020-09-01,,Scotland's Net Zero Roadmap (SNZR),0.0,,
,2020-04-01,,Humber Industrial Decarbonisation Roadmap,0.0,,
England,2020-04-23,E,North West Hydrogen and Energy Cluster: Route to Net Zero (Roadmap),0.0,,
Wales,2020-04-20,W,South Wales Industrial Cluster (SWIC) (Roadmap),0.0,,
Scotland,2020-02-05,S,Heriot-Watt University Study,0.0,53.711662,2.01455
,2020-02-10,,Shute Creek Plant CO2 Capture Upgrade,0.0,41.884944,-110.090532
Switzerland,2020-05-21,Sz,LafargeHolcim cement process,0.0,,
Canada,2017-07-11,CA,Husky 0.5 TPD,0.0,53.208461,-109.94781
Canada,2017-07-11,CA,Husky's Pikes Peak South Lloyd thermal project,0.0,53.208461,-109.94781
United States,2019-12-11,USA,Red Trail Energy CCS at Richardton ethanol plant,0.0,46.879014,-102.29691
United States,2019-12-11,USA,Coal Creek Station,0.0,47.37694168,-101.1572266
United States,2019-12-12,USA,The ZEROS Project,120.0,,
Ireland,2019-12-05,Ire,Ervia Cork Project,440.0,51.819163,-8.244835
Scotland,2018-05-01,S,Caledonia Clean Energy Project,605.0,56.025381,-3.685859
England,2018-11-28,E,Clean Gas Project,0.0,54.57648,-1.221469
United States,2019-10-10,USA,Velocys' Bayou Fuels Negative Emission Project,0.0,31.532671,-91.441124
England,2019-08-20,E,Altalto Immingham project,0.0,53.598494,-0.147233
South Africa,,Saf,Pilot Carbon Storage Project (PCSP),0.0,-28.945,31.372
Denmark,2020-10-23,DK,Amager Resource Centre,0.0,55.621,13.004
United States,,USA,Freeport LNG CCS Project,0.0,28.982852,-95.308668
Japan,,JP,Kaita Biomass Power CO2 Capture Project,0.0,34.36485,132.524931
United States,,USA,OCI's Iowa Fertilizer Company facility,0.0,40.693008,-91.230511
United States,,USA,Lucid Energy Group--CO2 storage in Permian Basin,0.0,32.232726,-103.58875
United States,,USA,Archer Daniels Midland Pipeline,0.0,41.923768,-91.685419
United States,,USA,Denbury CO2 Storage Hub,0.0,30.41,-87.848
Canada,,CA,Open Access Wabamun Carbon Hub,0.0,53.588,-114.616
United States,,USA,Eastern Wyoming Sequestration Hub project,0.0,41.083627,-104.189958
Japan,,JP,Knutsen NYK Carbon Carriers,0.0,,
United States,,USA,River Bend CCS project,0.0,30.053414,-90.788434
Timor-Leste,,TL,CCS at Bayu-Undan,0.0,-8.699951,127.671664
United States,,USA,Baytown Refinery Project,0.0,29.74636532,-95.01101265
United Kingdom,2020-10-10,GB,"V Net Zero Project (renamed Viking CCS, October 2022)",0.0,53.476958,-0.068257
United Kingdom,,GB,Humber Zero Project,0.0,53.6387727,-0.2343148
Spain,,Sp,LafargeHolcim and Carbon Clean large scale CCUS plant (ECCO2-LH joint venture),0.0,37.00444,-1.90425
England,,E,Northern Endurance Partnership,0.0,54.306,0.417
Australia,2019-05-01,AU,Otway Stage 3 Project,0.0,-38.5298,142.80295
Netherlands,2020-05-26,NL,Port of Rotterdam CO2 Transport Hub and Offshore Storage (Porthos) project,0.0,51.948866,4.134252
Japan,,JP,K Line shipboard carbon capture,0.0,,
South Africa,,Saf,Leandra CCS project,0.0,26.335,28.898
China,,CN,Enping 15-1 oilfield CCS project,0.0,22.044,114.698
United States,,USA,Dakota Carbon Pipeline,0.0,47.35822,-101.84145
United States,,USA,Ascension Parish blue hydrogen CCS,0.0,30.13,-90.983
United Kingdom,,GB,Viridor waste-to-energy CCUS,0.0,,
Australia,,AU,CCS project near Karratha,0.0,-20.233,116.752
Canada,,CA,British Columbia Air to Fuels project,0.0,50.18,-120.407
Denmark,2020-06-01,DK,Project Greensand,0.0,56.655982,5.888386
Netherlands,,NL,Neptune Energy L10 CCS project,0.0,53.403889,4.201944
Australia,,AU,CStore1,0.0,-13.282,128.675
,,,Eni and Saipem MoU for decarbonization projects in Italy,0.0,,
Norway,,NO,Equinor Energy and Mitsubishi Heavy Industries MOU for a low-carbon technology collaboration,0.0,,
India,,In,Veolia Carbon Clean,0.0,,
Norway,2022-08-30,NO,Errai CCS Project,0.0,58.923461,5.592297
Sweden,,Swd,Carbon Infrastructure Capture (CinfraCap) project,0.0,57.696,11.873
,,,LafargeHolcim Schlumberger New Energy partnership,0.0,,
India,,In,Koyali CCUS project,0.0,22.36606,73.12899
United States,,USA,BECCS Mendota,0.0,36.76,-120.381
United States,,USA,Summit Carbon Solutions project,0.0,47.411,-101.275
United States,,USA,Heartland Greenway System,0.0,,
Canada,,CA,Alberta Carbon Grid,0.0,53.947,-113.109
France,,FR,Axe Seine/Normandy decarbonization project,0.0,49.464,0.466
Iceland,,Ice,CCS with Elkem Iceland,0.0,64.35921,-21.78683
United States,,USA,Blue Planet's pilot plant,0.0,38.03074,-121.87006
United States,,USA,Heartland Greenway System Storage,0.0,39.506,-89.797
Canada,,CA,Polaris CCS Project,0.0,53.79655,-113.09176
